Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/siteinfo.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/siteinfo.eda.nokia.com/v1,GET,ResourceList,resource_list,true,true,false
/apps/siteinfo.eda.nokia.com/v1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/banners,GET,com.nokia.eda.siteinfo.v1.BannerList,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/defaultmtus,GET,com.nokia.eda.siteinfo.v1.DefaultMTUList,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/dnsclients,GET,com.nokia.eda.siteinfo.v1.DNSClientList,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/dnsclientstates,GET,com.nokia.eda.siteinfo.v1.DNSClientStateList,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/banners,DELETE,com.nokia.eda.siteinfo.v1.BannerList,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/banners,GET,com.nokia.eda.siteinfo.v1.BannerList,banner_list,true,true,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/banners,POST,com.nokia.eda.siteinfo.v1.Banner,banner,true,false,true
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/banners/_deleted,GET,com.nokia.eda.siteinfo.v1.Banner_DeletedResources,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/banners/{name},DELETE,Status,banner,true,false,true
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/banners/{name},GET,com.nokia.eda.siteinfo.v1.Banner,banner,true,true,true
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/banners/{name},PATCH,com.nokia.eda.siteinfo.v1.Banner,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/banners/{name},PUT,com.nokia.eda.siteinfo.v1.Banner,banner,true,false,true
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/banners/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/banners/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/banners/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/defaultmtus,DELETE,com.nokia.eda.siteinfo.v1.DefaultMTUList,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/defaultmtus,GET,com.nokia.eda.siteinfo.v1.DefaultMTUList,default_mtu_list,true,true,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/defaultmtus,POST,com.nokia.eda.siteinfo.v1.DefaultMTU,default_mtu,true,false,true
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/defaultmtus/_deleted,GET,com.nokia.eda.siteinfo.v1.DefaultMTU_DeletedResources,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/defaultmtus/{name},DELETE,Status,default_mtu,true,false,true
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/defaultmtus/{name},GET,com.nokia.eda.siteinfo.v1.DefaultMTU,default_mtu,true,true,true
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/defaultmtus/{name},PATCH,com.nokia.eda.siteinfo.v1.DefaultMTU,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/defaultmtus/{name},PUT,com.nokia.eda.siteinfo.v1.DefaultMTU,default_mtu,true,false,true
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/defaultmtus/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/defaultmtus/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/defaultmtus/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/dnsclients,DELETE,com.nokia.eda.siteinfo.v1.DNSClientList,,false,false,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/dnsclients,GET,com.nokia.eda.siteinfo.v1.DNSClientList,dns_client_list,true,true,false
/apps/siteinfo.eda.nokia.com/v1/namespaces/{namespace}/dnsclients,POST,com.nokia.eda.siteinfo.v1.DNSClient,dns_client,true,false,true
